Player,Season,Competition_country,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,Type1,Type,Goal_assist
Lionel Messi,17/18,Spain,LaLiga,Group Stage,02-12-2017,H,FC Barcelona,Celta de Vigo,LOST,SS,22,1,Left-footed shot,Paulinho
Cristiano Ronaldo,17/18,Spain,UEFA Champions League,Group Stage,06-12-2017,H,Real Madrid,Borussia Dortmund,WON,LW,12,1,Right-footed shot,Mateo Kovacic
Cristiano Ronaldo,17/18,Spain,LaLiga,Group Stage,09-12-2017,H,Real Madrid,Sevilla FC,WON,CF,31,1,Penalty,
Cristiano Ronaldo,17/18,Spain,LaLiga,Group Stage,09-12-2017,H,Real Madrid,Sevilla FC,WON,CF,23,1,Right-footed shot,Marco Asensio
Lionel Messi,17/18,Spain,LaLiga,Group Stage,10-12-2017,A,FC Barcelona,Villarreal CF,LOST,RW ,83,1,Left-footed shot,Sergio Busquets
Cristiano Ronaldo,17/18,Italy,FIFA Club World Cup,Semi-Finals,13-12-2017,A,Real Madrid,Al-Jazira (Abu Dhabi),LOST,LW,53,1,Right-footed shot,Luka Modric
Cristiano Ronaldo,17/18,Italy,FIFA Club World Cup,Final,16-12-2017,H,Real Madrid,Gr̻mio Foot-Ball Porto Alegrense,WON,LW,53,1,Direct free kick,
Lionel Messi,17/18,Spain,LaLiga,Group Stage,23-12-2017,A,FC Barcelona,Real Madrid,LOST,SS,64,1,Penalty,
Lionel Messi,17/18,Spain,LaLiga,Group Stage,07-01-2018,H,FC Barcelona,Levante UD,WON,SS,12,1,Left-footed shot,Jordi Alba
Lionel Messi,17/18,Spain,Copa del Rey,Group Stage,11-01-2018,H,FC Barcelona,Celta de Vigo,WON,SS,15,1,Left-footed shot,Jordi Alba
Lionel Messi,17/18,Spain,Copa del Rey,Group Stage,11-01-2018,H,FC Barcelona,Celta de Vigo,WON,SS,13,1,Left-footed shot,Jordi Alba
Lionel Messi,17/18,Spain,LaLiga,Group Stage,14-01-2018,A,FC Barcelona,Real Sociedad,LOST,SS ,85,1,Direct free kick,
Lionel Messi,17/18,Spain,LaLiga,Group Stage,21-01-2018,A,FC Barcelona,Real Betis Balompie,LOST,SS ,80,1,Left-footed shot,Luis Suarez
Cristiano Ronaldo,17/18,Spain,LaLiga,Group Stage,21-01-2018,H,Real Madrid,Deportivo de La Coru̱a,WON,LW,84,1,Header,Lucas Vazquez
Cristiano Ronaldo,17/18,Spain,LaLiga,Group Stage,21-01-2018,H,Real Madrid,Deportivo de La Coru̱a,WON,LW,78,1,Left-footed shot,Casemiro
Lionel Messi,17/18,Spain,LaLiga,Group Stage,21-01-2018,A,FC Barcelona,Real Betis Balompie,LOST,SS ,64,1,Left-footed shot,Sergio Busquets
Lionel Messi,17/18,Spain,Copa del Rey,Quarter-Finals,25-01-2018,H,FC Barcelona,RCD Espanyol Barcelona,WON,SS,25,1,Deflected shot on goal,
Cristiano Ronaldo,17/18,Spain,LaLiga,Group Stage,27-01-2018,A,Real Madrid,Valencia CF,LOST,LW,38,1,Penalty,
Cristiano Ronaldo,17/18,Spain,LaLiga,Group Stage,27-01-2018,A,Real Madrid,Valencia CF,LOST,LW,16,1,Penalty,
Lionel Messi,17/18,Spain,LaLiga,Group Stage,28-01-2018,H,FC Barcelona,Deportivo Alaves,WON,SS,84,1,Direct free kick,
Cristiano Ronaldo,17/18,Spain,LaLiga,Group Stage,10-02-2018,H,Real Madrid,Real Sociedad,WON,CF,80,1,Tap-in,
Cristiano Ronaldo,17/18,Spain,LaLiga,Group Stage,10-02-2018,H,Real Madrid,Real Sociedad,WON,CF,37,1,Header,Luka Modric
Cristiano Ronaldo,17/18,Spain,LaLiga,Group Stage,10-02-2018,H,Real Madrid,Real Sociedad,WON,CF,27,1,Right-footed shot,Marcelo
Cristiano Ronaldo,17/18,Spain,UEFA Champions League,Group Stage,14-02-2018,H,Real Madrid,Paris Saint-Germain,WON,LW,45,1,Penalty,
Cristiano Ronaldo,17/18,Spain,UEFA Champions League,Group Stage,14-02-2018,H,Real Madrid,Paris Saint-Germain,WON,LW,83,1,Tap-in,
Cristiano Ronaldo,17/18,Spain,LaLiga,Group Stage,18-02-2018,A,Real Madrid,Real Betis Balompie,LOST,CF,65,1,Right-footed shot,Casemiro
Lionel Messi,17/18,Spain,UEFA Champions League,Group Stage,20-02-2018,A,FC Barcelona,Chelsea FC,LOST,SS,75,1,Left-footed shot,Andres Iniesta
Cristiano Ronaldo,17/18,Spain,LaLiga,Group Stage,24-02-2018,H,Real Madrid,Deportivo Alaves,WON,CF ,44,1,Left-footed shot,Karim Benzema
Cristiano Ronaldo,17/18,Spain,LaLiga,Group Stage,24-02-2018,H,Real Madrid,Deportivo Alaves,WON,CF ,61,1,Right-footed shot,Lucas Vazquez
Lionel Messi,17/18,Spain,LaLiga,Group Stage,24-02-2018,H,FC Barcelona,Girona FC,WON,SS ,36,1,Direct free kick,
Lionel Messi,17/18,Spain,LaLiga,Group Stage,24-02-2018,H,FC Barcelona,Girona FC,WON,SS ,30,1,Left-footed shot,Luis Suarez
Lionel Messi,17/18,Spain,LaLiga,Group Stage,01-03-2018,A,FC Barcelona,UD Las Palmas,LOST,SS,21,1,Direct free kick,
Cristiano Ronaldo,17/18,Spain,LaLiga,Group Stage,03-03-2018,H,Real Madrid,Getafe CF,WON,CF,46,1,Left-footed shot,Karim Benzema
Cristiano Ronaldo,17/18,Spain,LaLiga,Group Stage,03-03-2018,H,Real Madrid,Getafe CF,WON,CF,78,1,Header,Marcelo
Lionel Messi,17/18,Spain,LaLiga,Group Stage,04-03-2018,H,FC Barcelona,Atletico de Madrid,WON,SS,26,1,Direct free kick,
Cristiano Ronaldo,17/18,Spain,UEFA Champions League,Group Stage,06-03-2018,A,Real Madrid,Paris Saint-Germain,LOST,CF,51,1,Header,Lucas Vazquez
Cristiano Ronaldo,17/18,Spain,LaLiga,Group Stage,10-03-2018,A,Real Madrid,SD Eibar,LOST,CF,33,1,Right-footed shot,Luka Modric
Cristiano Ronaldo,17/18,Spain,LaLiga,Group Stage,10-03-2018,A,Real Madrid,SD Eibar,LOST,CF,84,1,Header,Daniel Carvajal
Lionel Messi,17/18,Spain,UEFA Champions League,Group Stage,14-03-2018,H,FC Barcelona,Chelsea FC,WON,SS,63,1,Left-footed shot,Luis Suarez
Lionel Messi,17/18,Spain,UEFA Champions League,Group Stage,14-03-2018,H,FC Barcelona,Chelsea FC,WON,SS,3,1,Right-footed shot,Luis Suarez
Lionel Messi,17/18,Spain,LaLiga,Group Stage,18-03-2018,H,FC Barcelona,Athletic Bilbao,WON,SS ,30,1,Left-footed shot,Ousmane Dembele
Cristiano Ronaldo,17/18,Spain,LaLiga,Group Stage,18-03-2018,H,Real Madrid,Girona FC,WON,CF,47,1,Left-footed shot,Karim Benzema
Cristiano Ronaldo,17/18,Spain,LaLiga,Group Stage,18-03-2018,H,Real Madrid,Girona FC,WON,CF,64,1,Tap-in,
Cristiano Ronaldo,17/18,Spain,LaLiga,Group Stage,18-03-2018,H,Real Madrid,Girona FC,WON,CF,91,1,Right-footed shot,Toni Kroos
Cristiano Ronaldo,17/18,Spain,LaLiga,Group Stage,18-03-2018,H,Real Madrid,Girona FC,WON,CF,11,1,Left-footed shot,Toni Kroos
Lionel Messi,17/18,Spain,LaLiga,Group Stage,31-03-2018,A,FC Barcelona,Sevilla FC,LOST,RW,89,1,Left-footed shot,Philippe Coutinho
Cristiano Ronaldo,17/18,Spain,UEFA Champions League,Quarter-Finals,03-04-2018,A,Real Madrid,Juventus FC,LOST,CF,3,1,Right-footed shot,Isco
Cristiano Ronaldo,17/18,Spain,UEFA Champions League,Quarter-Finals,03-04-2018,A,Real Madrid,Juventus FC,LOST,CF,64,1,Right-footed shot,Daniel Carvajal
Lionel Messi,17/18,Spain,LaLiga,Group Stage,07-04-2018,H,FC Barcelona,CD Leganes,WON,SS ,27,1,Direct free kick,
Lionel Messi,17/18,Spain,LaLiga,Group Stage,07-04-2018,H,FC Barcelona,CD Leganes,WON,SS ,32,1,Left-footed shot,Philippe Coutinho
Lionel Messi,17/18,Spain,LaLiga,Group Stage,07-04-2018,H,FC Barcelona,CD Leganes,WON,SS ,87,1,Left-footed shot,Ousmane Dembele
Cristiano Ronaldo,17/18,Spain,LaLiga,Group Stage,08-04-2018,H,Real Madrid,Atletico de Madrid,LOST,CF,53,1,Right-footed shot,Gareth Bale
Cristiano Ronaldo,17/18,Spain,UEFA Champions League,Quarter-Finals,11-04-2018,H,Real Madrid,Juventus FC,LOST,CF,97,1,Penalty,
Cristiano Ronaldo,17/18,Spain,LaLiga,Group Stage,18-04-2018,H,Real Madrid,Athletic Bilbao,LOST,CF,87,1,Right-footed shot,Luka Modric
Lionel Messi,17/18,Spain,Copa del Rey,Final,21-04-2018,A,FC Barcelona,Sevilla FC,LOST,SS,31,1,Left-footed shot,Jordi Alba
Lionel Messi,17/18,Spain,LaLiga,Group Stage,29-04-2018,A,FC Barcelona,Deportivo de La Coruaa,LOST,CF ,82,1,Right-footed shot,Luis Suarez
Lionel Messi,17/18,Spain,LaLiga,Group Stage,29-04-2018,A,FC Barcelona,Deportivo de La Coruaa,LOST,CF ,85,1,Left-footed shot,Luis Suarez
Lionel Messi,17/18,Spain,LaLiga,Group Stage,29-04-2018,A,FC Barcelona,Deportivo de La Coruaa,LOST,CF ,38,1,Left-footed shot,Luis Suarez
Cristiano Ronaldo,17/18,Spain,LaLiga,Group Stage,06-05-2018,A,Real Madrid,FC Barcelona,LOST,LW,14,1,Right-footed shot,Karim Benzema
Lionel Messi,17/18,Spain,LaLiga,Group Stage,06-05-2018,H,FC Barcelona,Real Madrid,LOST,SS,52,1,Left-footed shot,Luis Suarez
Lionel Messi,17/18,Spain,LaLiga,Group Stage,09-05-2018,H,FC Barcelona,Villarreal CF,WON,CF,45,1,Left-footed shot,Andres Iniesta
Cristiano Ronaldo,17/18,Spain,LaLiga,Group Stage,19-05-2018,A,Real Madrid,Villarreal CF,LOST,CF,32,1,Header,Marcelo
Lionel Messi,18/19,Spain,LaLiga,Group Stage,18-08-2018,H,FC Barcelona,Deportivo Alaves,WON,RW ,64,1,Direct free kick,
Lionel Messi,18/19,Spain,LaLiga,Group Stage,18-08-2018,H,FC Barcelona,Deportivo Alaves,WON,RW ,92,1,Left-footed shot,Luis Suarez
Lionel Messi,18/19,Spain,LaLiga,Group Stage,02-09-2018,H,FC Barcelona,SD Huesca,WON,RW ,16,1,Right-footed shot,Ivan Rakitic
Lionel Messi,18/19,Spain,LaLiga,Group Stage,02-09-2018,H,FC Barcelona,SD Huesca,WON,RW ,61,1,Left-footed shot,Philippe Coutinho
Cristiano Ronaldo,18/19,Italy,Serie A,Group Stage,16-09-2018,H,Juventus FC,US Sassuolo,WON,CF,50,1,Tap-in,
Cristiano Ronaldo,18/19,Italy,Serie A,Group Stage,16-09-2018,H,Juventus FC,US Sassuolo,WON,CF,65,1,Left-footed shot,Emre Can
Lionel Messi,18/19,Spain,UEFA Champions League,Group Stage,18-09-2018,H,FC Barcelona,PSV Eindhoven,WON,RW ,31,1,Direct free kick,
Lionel Messi,18/19,Spain,UEFA Champions League,Group Stage,18-09-2018,H,FC Barcelona,PSV Eindhoven,WON,RW ,77,1,Left-footed shot,Ivan Rakitic
Lionel Messi,18/19,Spain,UEFA Champions League,Group Stage,18-09-2018,H,FC Barcelona,PSV Eindhoven,WON,RW ,87,1,Right-footed shot,Luis Suarez
Cristiano Ronaldo,18/19,Italy,Serie A,Group Stage,23-09-2018,A,Juventus FC,Frosinone Calcio,LOST,LW,81,1,Left-footed shot,
Lionel Messi,18/19,Spain,LaLiga,Group Stage,23-09-2018,H,FC Barcelona,Girona FC,LOST,RW ,19,1,Left-footed shot,Arturo Vidal
Lionel Messi,18/19,Spain,UEFA Champions League,Group Stage,03-10-2018,A,FC Barcelona,Tottenham Hotspur,LOST,RW ,56,1,Left-footed shot,Jordi Alba
Lionel Messi,18/19,Spain,UEFA Champions League,Group Stage,03-10-2018,A,FC Barcelona,Tottenham Hotspur,LOST,RW ,90,1,Left-footed shot,Jordi Alba
Cristiano Ronaldo,18/19,Italy,Serie A,Group Stage,06-10-2018,A,Juventus FC,Udinese Calcio,LOST,LW,37,1,Left-footed shot,Mario Mandzukic
Lionel Messi,18/19,Spain,LaLiga,Group Stage,07-10-2018,A,FC Barcelona,Valencia CF,LOST,RW ,23,1,Left-footed shot,Luis Suarez
Cristiano Ronaldo,18/19,Italy,Serie A,Group Stage,20-10-2018,H,Juventus FC,Genoa CFC,LOST,LW,18,1,Tap-in,
Lionel Messi,18/19,Spain,LaLiga,Group Stage,20-10-2018,H,FC Barcelona,Sevilla FC,WON,RW ,12,1,Left-footed shot,Luis Suarez
Cristiano Ronaldo,18/19,Italy,Serie A,Group Stage,27-10-2018,A,Juventus FC,Empoli FC ,LOST,CF,54,1,Penalty,
Cristiano Ronaldo,18/19,Italy,Serie A,Group Stage,27-10-2018,A,Juventus FC,Empoli FC ,LOST,CF,70,1,Right-footed shot,Blaise Matuidi
Cristiano Ronaldo,18/19,Spain,UEFA Champions League,Group Stage,07-11-2018,H,Juventus FC,Manchester United,LOST,CF,65,1,Right-footed shot,Leonardo Bonucci
Cristiano Ronaldo,18/19,Italy,Serie A,Group Stage,11-11-2018,A,Juventus FC,AC Milan,LOST,LW,81,1,Tap-in,
Lionel Messi,18/19,Spain,LaLiga,Group Stage,11-11-2018,H,FC Barcelona,Real Betis Balompie,LOST,SS ,94,1,Left-footed shot,Arturo Vidal
Lionel Messi,18/19,Spain,LaLiga,Group Stage,11-11-2018,H,FC Barcelona,Real Betis Balompie,LOST,SS ,68,1,Penalty,
Cristiano Ronaldo,18/19,Italy,Serie A,Group Stage,24-11-2018,H,Juventus FC,SPAL,WON,CF,29,1,Left-footed shot,Miralem Pjanic
Lionel Messi,18/19,Spain,UEFA Champions League,Group Stage,28-11-2018,A,FC Barcelona,PSV Eindhoven,LOST,CF ,61,1,Left-footed shot,Ousmane Dembele
Cristiano Ronaldo,18/19,Italy,Serie A,Group Stage,01-12-2018,A,Juventus FC,ACF Fiorentina,LOST,LW,79,1,Penalty,
Lionel Messi,18/19,Spain,LaLiga,Group Stage,08-12-2018,A,FC Barcelona,RCD Espanyol Barcelona,LOST,RW ,65,1,Direct free kick,
Lionel Messi,18/19,Spain,LaLiga,Group Stage,08-12-2018,A,FC Barcelona,RCD Espanyol Barcelona,LOST,RW ,17,1,Direct free kick,
Cristiano Ronaldo,18/19,Italy,Serie A,Group Stage,15-12-2018,A,Juventus FC,Torino FC,LOST,LW,70,1,Penalty,
Lionel Messi,18/19,Spain,LaLiga,Group Stage,16-12-2018,A,FC Barcelona,Levante UD,LOST,SS ,43,1,Right-footed shot,Sergio Busquets
Lionel Messi,18/19,Spain,LaLiga,Group Stage,16-12-2018,A,FC Barcelona,Levante UD,LOST,SS ,47,1,Left-footed shot,
Lionel Messi,18/19,Spain,LaLiga,Group Stage,16-12-2018,A,FC Barcelona,Levante UD,LOST,SS ,60,1,Left-footed shot,Arturo Vidal
Lionel Messi,18/19,Spain,LaLiga,Group Stage,22-12-2018,H,FC Barcelona,Celta de Vigo,WON,RW ,45,1,Left-footed shot,Jordi Alba
Cristiano Ronaldo,18/19,Italy,Serie A,Group Stage,26-12-2018,A,Juventus FC,Atalanta BC,LOST,CF,78,1,Header,Giorgio Chiellini
Cristiano Ronaldo,18/19,Italy,Serie A,Group Stage,29-12-2018,H,Juventus FC,UC Sampdoria,WON,LW,65,1,Penalty,
Cristiano Ronaldo,18/19,Italy,Serie A,Group Stage,29-12-2018,H,Juventus FC,UC Sampdoria,WON,LW,2,1,Right-footed shot,Paulo Dybala
Lionel Messi,18/19,Spain,LaLiga,Group Stage,06-01-2019,A,FC Barcelona,Getafe CF,LOST,RW ,20,1,Left-footed shot,
Lionel Messi,18/19,Spain,LaLiga,Group Stage,13-01-2019,H,FC Barcelona,SD Eibar,WON,RW ,53,1,Left-footed shot,Luis Suarez
Cristiano Ronaldo,18/19,Italy,Supercoppa Italiana,Final,16-01-2019,H,Juventus FC,AC Milan,WON,LW,61,1,Header,Miralem Pjanic
Lionel Messi,18/19,Spain,Copa del Rey,Group Stage,17-01-2019,H,FC Barcelona,Levante UD,WON,CF ,54,1,Left-footed shot,Nelson Semedo
Lionel Messi,18/19,Spain,LaLiga,Group Stage,20-01-2019,H,FC Barcelona,CD Leganes,WON,SS,92,1,Right-footed shot,Jordi Alba
Lionel Messi,18/19,Spain,LaLiga,Group Stage,27-01-2019,A,FC Barcelona,Girona FC,LOST,RW ,69,1,Left-footed shot,Jordi Alba
Cristiano Ronaldo,18/19,Italy,Serie A,Group Stage,27-01-2019,A,Juventus FC,SS Lazio,LOST,LW,88,1,Penalty,
Lionel Messi,18/19,Spain,Copa del Rey,Quarter-Finals,30-01-2019,H,FC Barcelona,Sevilla FC,WON,RW ,92,1,Left-footed shot,Jordi Alba
Cristiano Ronaldo,18/19,Italy,Serie A,Group Stage,02-02-2019,H,Juventus FC,Parma Calcio 1913,LOST,LW,36,1,Right-footed shot,Blaise Matuidi
Lionel Messi,18/19,Spain,LaLiga,Group Stage,02-02-2019,H,FC Barcelona,Valencia CF,LOST,RW ,39,1,Penalty,
Lionel Messi,18/19,Spain,LaLiga,Group Stage,02-02-2019,H,FC Barcelona,Valencia CF,LOST,RW ,64,1,Left-footed shot,Arturo Vidal
Cristiano Ronaldo,18/19,Italy,Serie A,Group Stage,02-02-2019,H,Juventus FC,Parma Calcio 1913,LOST,LW,66,1,Header,Mario Mandzukic
Cristiano Ronaldo,18/19,Italy,Serie A,Group Stage,10-02-2019,A,Juventus FC,US Sassuolo,LOST,LW,70,1,Header,Miralem Pjanic
Cristiano Ronaldo,18/19,Italy,Serie A,Group Stage,15-02-2019,H,Juventus FC,Frosinone Calcio,WON,LW,63,1,Right-footed shot,Mario Mandzukic
Lionel Messi,18/19,Spain,LaLiga,Group Stage,16-02-2019,H,FC Barcelona,Real Valladolid CF,WON,RW ,43,1,Penalty,
Lionel Messi,18/19,Spain,LaLiga,Group Stage,23-02-2019,A,FC Barcelona,Sevilla FC,LOST,RW ,26,1,Left-footed shot,Ivan Rakitic
Lionel Messi,18/19,Spain,LaLiga,Group Stage,23-02-2019,A,FC Barcelona,Sevilla FC,LOST,RW ,85,1,Left-footed shot,
Lionel Messi,18/19,Spain,LaLiga,Group Stage,23-02-2019,A,FC Barcelona,Sevilla FC,LOST,RW ,67,1,Right-footed shot,Ousmane Dembele
Lionel Messi,18/19,Spain,LaLiga,Group Stage,09-03-2019,H,FC Barcelona,Rayo Vallecano,WON,RW ,51,1,Penalty,
Cristiano Ronaldo,18/19,Spain,UEFA Champions League,Group Stage,12-03-2019,H,Juventus FC,Atletico de Madrid,WON,CF,27,1,Header,Federico Bernardeschi
Cristiano Ronaldo,18/19,Spain,UEFA Champions League,Group Stage,12-03-2019,H,Juventus FC,Atletico de Madrid,WON,CF,49,1,Header,Jọo Cancelo
Cristiano Ronaldo,18/19,Spain,UEFA Champions League,Group Stage,12-03-2019,H,Juventus FC,Atletico de Madrid,WON,CF,86,1,Penalty,
Lionel Messi,18/19,Spain,UEFA Champions League,Group Stage,13-03-2019,H,FC Barcelona,Olympique Lyon,WON,RW ,18,1,Penalty,
Lionel Messi,18/19,Spain,UEFA Champions League,Group Stage,13-03-2019,H,FC Barcelona,Olympique Lyon,WON,RW ,78,1,Right-footed shot,Sergio Busquets
Lionel Messi,18/19,Spain,LaLiga,Group Stage,17-03-2019,A,FC Barcelona,Real Betis Balompie,LOST,SS ,85,1,Left-footed shot,Ivan Rakitic
Lionel Messi,18/19,Spain,LaLiga,Group Stage,17-03-2019,A,FC Barcelona,Real Betis Balompie,LOST,SS ,47,1,Left-footed shot,Luis Suarez
Lionel Messi,18/19,Spain,LaLiga,Group Stage,17-03-2019,A,FC Barcelona,Real Betis Balompie,LOST,SS ,18,1,Direct free kick,
Lionel Messi,18/19,Spain,LaLiga,Group Stage,30-03-2019,H,FC Barcelona,RCD Espanyol Barcelona,WON,RW ,89,1,Left-footed shot,Malcom
Lionel Messi,18/19,Spain,LaLiga,Group Stage,30-03-2019,H,FC Barcelona,RCD Espanyol Barcelona,WON,RW ,71,1,Direct free kick,
Lionel Messi,18/19,Spain,LaLiga,Group Stage,02-04-2019,A,FC Barcelona,Villarreal CF,LOST,RW,90,1,Direct free kick,
Lionel Messi,18/19,Spain,LaLiga,Group Stage,06-04-2019,H,FC Barcelona,Atletico de Madrid,WON,SS ,87,1,Left-footed shot,
Cristiano Ronaldo,18/19,Spain,UEFA Champions League,Quarter-Finals,10-04-2019,A,Juventus FC,Ajax Amsterdam,LOST,LW,45,1,Header,Jọo Cancelo
Lionel Messi,18/19,Spain,UEFA Champions League,Quarter-Finals,16-04-2019,H,FC Barcelona,Manchester United,WON,RW ,20,1,Right-footed shot,
Lionel Messi,18/19,Spain,UEFA Champions League,Quarter-Finals,16-04-2019,H,FC Barcelona,Manchester United,WON,RW ,16,1,Left-footed shot,
Cristiano Ronaldo,18/19,Spain,UEFA Champions League,Quarter-Finals,16-04-2019,H,Juventus FC,Ajax Amsterdam,LOST,LW,28,1,Header,Miralem Pjanic
Cristiano Ronaldo,18/19,Italy,Serie A,Group Stage,27-04-2019,A,Juventus FC,Inter Milan,LOST,CF,62,1,Left-footed shot,Miralem Pjanic
Lionel Messi,18/19,Spain,LaLiga,Group Stage,27-04-2019,H,FC Barcelona,Levante UD,WON,RW,62,1,Left-footed shot,Arturo Vidal
Lionel Messi,18/19,Spain,UEFA Champions League,Semi-Finals,01-05-2019,H,FC Barcelona,Liverpool FC,WON,RW ,82,1,Direct free kick,
Lionel Messi,18/19,Spain,UEFA Champions League,Semi-Finals,01-05-2019,H,FC Barcelona,Liverpool FC,WON,RW ,75,1,Left-footed shot,Luis Suarez
Cristiano Ronaldo,18/19,Italy,Serie A,Group Stage,03-05-2019,H,Juventus FC,Torino FC,LOST,CF,84,1,Header,Leonardo Spinazzola
Lionel Messi,18/19,Spain,LaLiga,Group Stage,19-05-2019,A,FC Barcelona,SD Eibar,LOST,CF ,31,1,Left-footed shot,Arturo Vidal
Lionel Messi,18/19,Spain,LaLiga,Group Stage,19-05-2019,A,FC Barcelona,SD Eibar,LOST,CF ,32,1,Left-footed shot,Ivan Rakitic
Lionel Messi,18/19,Spain,Copa del Rey,Final,25-05-2019,H,FC Barcelona,Valencia CF,LOST,CF ,73,1,Left-footed shot,Clement Lenglet
Cristiano Ronaldo,19/20,Italy,Serie A,Group Stage,31-08-2019,H,Juventus FC,SSC Napoli,WON,LW,62,1,Left-footed shot,Douglas Costa
Cristiano Ronaldo,19/20,Italy,Serie A,Group Stage,21-09-2019,H,Juventus FC,Hellas Verona,WON,LW,49,1,Penalty,
Cristiano Ronaldo,19/20,Italy,Serie A,Group Stage,28-09-2019,H,Juventus FC,SPAL,WON,CF,78,1,Header,Paulo Dybala
Cristiano Ronaldo,19/20,Spain,UEFA Champions League,Group Stage,01-10-2019,H,Juventus FC,Bayer 04 Leverkusen,WON,CF,89,1,Right-footed shot,Paulo Dybala
Lionel Messi,19/20,Spain,LaLiga,Group Stage,06-10-2019,H,FC Barcelona,Sevilla FC,WON,RW ,78,1,Direct free kick,
Lionel Messi,19/20,Spain,LaLiga,Group Stage,19-10-2019,A,FC Barcelona,SD Eibar,LOST,RW ,58,1,Left-footed shot,Antoine Griezmann
Cristiano Ronaldo,19/20,Italy,Serie A,Group Stage,19-10-2019,H,Juventus FC,Bologna FC 1909,WON,CF,19,1,Right-footed shot,
Lionel Messi,19/20,Spain,UEFA Champions League,Group Stage,23-10-2019,A,FC Barcelona,SK Slavia Prague,LOST,RW ,3,1,Left-footed shot,Arthur
Lionel Messi,19/20,Spain,LaLiga,Group Stage,29-10-2019,H,FC Barcelona,Real Valladolid CF,WON,RW ,75,1,Left-footed shot,Ivan Rakitic
Lionel Messi,19/20,Spain,LaLiga,Group Stage,29-10-2019,H,FC Barcelona,Real Valladolid CF,WON,RW ,34,1,Direct free kick,
Cristiano Ronaldo,19/20,Italy,Serie A,Group Stage,30-10-2019,H,Juventus FC,Genoa CFC,WON,CF,96,1,Penalty,
Lionel Messi,19/20,Spain,LaLiga,Group Stage,02-11-2019,A,FC Barcelona,Levante UD,WON,RW ,38,1,Penalty,
Lionel Messi,19/20,Spain,LaLiga,Group Stage,09-11-2019,H,FC Barcelona,Celta de Vigo,WON,RW ,48,1,Direct free kick,
Lionel Messi,19/20,Spain,LaLiga,Group Stage,09-11-2019,H,FC Barcelona,Celta de Vigo,WON,RW ,46,1,Direct free kick,
Lionel Messi,19/20,Spain,LaLiga,Group Stage,09-11-2019,H,FC Barcelona,Celta de Vigo,WON,RW ,23,1,Penalty,
Lionel Messi,19/20,Spain,UEFA Champions League,Group Stage,27-11-2019,H,FC Barcelona,Borussia Dortmund,WON,RW ,33,1,Left-footed shot,Luis Suarez
Cristiano Ronaldo,19/20,Italy,Serie A,Group Stage,01-12-2019,H,Juventus FC,US Sassuolo,LOST,CF,68,1,Penalty,
Lionel Messi,19/20,Spain,LaLiga,Group Stage,01-12-2019,A,FC Barcelona,Atletico de Madrid,LOST,RW ,86,1,Left-footed shot,Luis Suarez
Lionel Messi,19/20,Spain,LaLiga,Group Stage,07-12-2019,H,FC Barcelona,RCD Mallorca,WON,RW ,41,1,Left-footed shot,Ivan Rakitic
Lionel Messi,19/20,Spain,LaLiga,Group Stage,07-12-2019,H,FC Barcelona,RCD Mallorca,WON,RW ,83,1,Left-footed shot,Luis Suarez
Lionel Messi,19/20,Spain,LaLiga,Group Stage,07-12-2019,H,FC Barcelona,RCD Mallorca,WON,RW ,17,1,Left-footed shot,Antoine Griezmann
Cristiano Ronaldo,19/20,Italy,Serie A,Group Stage,07-12-2019,A,Juventus FC,SS Lazio,WON,CF,25,1,Tap-in,Rodrigo Bentancur
Cristiano Ronaldo,19/20,Spain,UEFA Champions League,Group Stage,11-12-2019,A,Juventus FC,Bayer 04 Leverkusen,LOST,CF,75,1,Right-footed shot,Paulo Dybala
Cristiano Ronaldo,19/20,Italy,Serie A,Group Stage,15-12-2019,H,Juventus FC,Udinese Calcio,WON,CF,9,1,Right-footed shot,
Cristiano Ronaldo,19/20,Italy,Serie A,Group Stage,15-12-2019,H,Juventus FC,Udinese Calcio,WON,CF,37,1,Left-footed shot,Gonzalo Higuain
Cristiano Ronaldo,19/20,Italy,Serie A,Group Stage,18-12-2019,A,Juventus FC,UC Sampdoria,LOST,LW,45,1,Header,Alex Sandro
Lionel Messi,19/20,Spain,LaLiga,Group Stage,21-12-2019,H,FC Barcelona,Deportivo Alaves,WON,RW ,69,1,Left-footed shot,Luis Suarez
Cristiano Ronaldo,19/20,Italy,Serie A,Group Stage,06-01-2020,H,Juventus FC,Cagliari Calcio,WON,CF,49,1,Right-footed shot,
Cristiano Ronaldo,19/20,Italy,Serie A,Group Stage,06-01-2020,H,Juventus FC,Cagliari Calcio,WON,CF,67,1,Penalty,
Cristiano Ronaldo,19/20,Italy,Serie A,Group Stage,06-01-2020,H,Juventus FC,Cagliari Calcio,WON,CF,82,1,Left-footed shot,Douglas Costa
Lionel Messi,19/20,Spain,Supercopa,Semi-Finals,09-01-2020,H,FC Barcelona,Atletico de Madrid,LOST,RW ,51,1,Right-footed shot,Luis Suarez
Cristiano Ronaldo,19/20,Italy,Serie A,Group Stage,12-01-2020,A,Juventus FC,AS Roma,LOST,CF,10,1,Penalty,
Lionel Messi,19/20,Spain,LaLiga,Group Stage,19-01-2020,H,FC Barcelona,Granada CF,WON,CF ,76,1,Right-footed shot,Arturo Vidal
